full_name,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,gp_2014-2015,gp_2015-2016,gp_2016-2017,gp_2017-2018,gp_2018-2019,gp_2019-2020,gp_2020-2021,gp_2021-2022,gp_2022-2023,gp_2023-2024,gp_2024-2025
LeBron James,0.6731779038017223,0.6301939058171745,0.712563915266618,0.6912552052349792,0.9573553719008263,0.7883715749610157,1.074567901234568,0.996811224489796,51.3,51.8,49.000000000000014,69.0,76.0,74.0,82.0,55.0,67.0,45.0,56.0,55.0,71.0,44.0
Jaime Jaquez Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.299999999999997,20.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,42.0
DaQuan Jeffries,0.0,0.0,0.0,0.0,0.0,0.0,0.3257023933402705,0.0,0.0,1.5,14.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,17.0,15.0
Trey Jemison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.666666666666668,7.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.0
Daniss Jenkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Ty Jerome,0.0,0.0,0.0,0.0,0.0,0.254942767950052,0.6666666666666665,0.2894965277777778,16.1,4.5,24.695652173913043,0.0,0.0,0.0,0.0,0.0,31.0,33.0,48.0,45.0,2.0,46.0
Isaiah Joe,0.0,0.0,0.0,0.0,0.0,0.0,0.15883402736466387,0.1137190082644628,17.6,16.7,18.372093023255815,0.0,0.0,0.0,0.0,0.0,0.0,41.0,55.0,73.0,78.0,43.0
AJ Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Cameron Johnson,0.0,0.0,0.0,0.0,0.0,0.3173284087411511,0.3075,0.3654729109274565,28.933333333333337,25.799999999999997,33.65714285714286,0.0,0.0,0.0,0.0,0.0,57.0,60.0,66.0,84.0,58.0,35.0
Jalen Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18595041322314051,14.8,37.2,43.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,70.0,56.0,36.0
James Johnson,0.2830612244897959,0.20498614958448752,0.38088642659279776,0.36029273784950266,0.3150413223140496,0.6591796875,0.358323721645521,0.24791883454734653,7.8,4.2,1.8888888888888888,70.0,57.0,76.0,73.0,55.0,32.0,51.0,62.0,18.0,9.0,9.0
Keldon Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.3392144507456417,0.38897777777777776,31.3,27.999999999999996,21.558139534883722,0.0,0.0,0.0,0.0,0.0,0.0,69.0,75.0,63.0,69.0,43.0
Keon Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37399561723886043,8.7,9.6,17.319148936170215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,40.0,5.0,47.0
Keshad Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Keyontae Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Nikola Jokić,0.0,0.31999999999999995,0.5475699005441922,0.5955555555555556,0.59859375,0.6265715894164008,0.8130787037037037,0.8294375456537617,0.0,0.0,70.34883720930232,0.0,80.0,73.0,75.0,80.0,73.0,72.0,74.0,0.0,0.0,43.0
Colby Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,3.782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,23.0
Dillon Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.249999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
Herbert Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31804733727810647,25.0,27.5,26.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,66.0,76.0,20.0
Isaac Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.826086956521738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Kai Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0929705215419501,10.0,0.0,7.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,46.0,0.0,27.0
Mason Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.255859375,0.0,0.0,3.8000000000000003,6.5,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,5.0,4.0
Spencer Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Tre Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.14317019722425126,0.235454736399916,31.599999999999994,28.2,15.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,37.0,69.0,68.0,77.0,28.0
Tyus Jones,0.0,0.3287070854638422,0.19694444444444445,0.19408090422367635,0.3155276816608997,0.3086390532544379,0.2587755102040816,0.3096265715894164,25.9,34.099999999999994,28.361702127659576,0.0,37.0,60.0,82.0,68.0,65.0,70.0,73.0,80.0,66.0,47.0
Derrick Jones Jr.,0.0,0.0,0.3505859375,0.3875,0.27166666666666667,0.34731399023269177,0.29607609988109396,0.2722029988465975,12.100000000000001,18.0,21.404255319148938,0.0,0.0,32.0,20.0,60.0,59.0,58.0,51.0,64.0,76.0,47.0
DeAndre Jordan,0.4570196311719215,0.4671951425198178,0.43773814967230606,0.0,0.0,0.0,0.3945829485995691,0.0,14.399999999999999,10.7,11.441176470588236,82.0,77.0,81.0,0.0,0.0,0.0,57.0,0.0,39.0,36.0,34.0
Cory Joseph,0.1925973401698446,0.22390625000000003,0.2440625,0.23810232004759074,0.2540154669839381,0.24305555555555558,0.3182161753590325,0.2942011834319527,16.1,6.700000000000001,5.448275862068965,79.0,80.0,80.0,82.0,82.0,72.0,63.0,65.0,62.0,26.0,29.0
Nikola Jović,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.105263157894733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
Johnny Juzang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.700000000000001,12.3,13.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,32.0
Frank Kaminsky,0.0,0.19478737997256515,0.2876444444444445,0.2355391764140361,0.3205070167496604,0.4648257725180802,0.33001358080579446,0.0,6.633333333333333,0.0,0.0,0.0,81.0,75.0,79.0,47.0,39.0,47.0,0.0,72.0,0.0,0.0
Yuki Kawamura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Kylor Kelley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Luke Kennard,0.0,0.0,0.0,0.20435353724901478,0.273620559334845,0.9961734693877552,0.2509448223733938,0.31489795918367347,18.433333333333337,22.1,22.75,0.0,0.0,0.0,73.0,63.0,28.0,63.0,70.0,118.0,39.0,36.0
Walker Kessler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.999999999999996,28.200000000000003,35.81081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,64.0,37.0
Corey Kispert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20222634508348794,18.799999999999997,22.0,18.837209302325576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,74.0,80.0,43.0
Maxi Kleber,0.0,0.0,0.0,0.1875,0.26324142035310455,0.29528853177501824,0.38639999999999997,0.329503016374605,15.7,13.899999999999999,9.647058823529411,0.0,0.0,0.0,72.0,71.0,74.0,50.0,59.0,37.0,43.0,34.0
Bobi Klintman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Dalton Knecht,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.48936170212766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
