Player,TEAM_ABBREVIATION,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,GP,FPPG
Neemias Queta,SAC,5.8,1.2,1.8,0.0,0.0,0.0,0.4,1.0,1.2,2.2,0.2,0.0,0.4,0.2,2.4,5,6.4
Nerlens Noel,TOT,12.233333333333334,0.6666666666666666,2.066666666666667,0.06666666666666667,0.06666666666666667,0.43333333333333335,0.6999999999999998,0.7000000000000001,2.066666666666667,2.766666666666667,0.7000000000000001,0.9333333333333332,0.5,1.0333333333333334,1.8,34,8.700000000000001
Nic Claxton,BRK,29.9,5.4,7.7,0.0,0.0,1.8,3.2,2.4,6.8,9.2,1.9,0.9,2.5,1.3,12.6,76,38.3
Nick Richards,CHO,18.7,3.0,4.8,0.0,0.0,2.1,2.8,2.3,4.1,6.4,0.6,0.2,1.1,0.9,8.2,65,19.7
Nickeil Alexander-Walker,TOT,15.066666666666668,2.1999999999999997,5.033333333333334,1.0333333333333334,2.733333333333333,0.7000000000000001,1.0,0.26666666666666666,1.4666666666666668,1.7,1.7666666666666666,0.5,0.3666666666666667,0.8666666666666667,6.133333333333333,118,13.2
Nicolas Batum,LAC,21.9,2.1,4.9,1.6,4.1,0.4,0.6,0.8,3.0,3.8,1.6,0.7,0.6,0.6,6.1,78,17.8
Nikola Joki?,DEN,33.7,9.4,14.8,0.8,2.2,4.9,6.0,2.4,9.4,11.8,9.8,1.3,0.7,3.6,24.5,69,60.4
Nikola Jovi?,MIA,13.6,1.9,4.6,0.5,2.3,1.2,1.3,0.6,1.5,2.1,0.7,0.5,0.1,0.7,5.5,15,9.6
Nikola Vu?evi?,CHI,33.5,7.3,14.0,1.5,4.2,1.6,1.9,1.9,9.1,11.0,3.2,0.7,0.7,1.7,17.6,82,39.00000000000001
Noah Vonleh,BOS,7.4,0.5,1.0,0.0,0.2,0.1,0.1,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.1,23,4.4
Norman Powell,LAC,26.1,5.7,11.8,1.9,4.8,3.8,4.6,0.4,2.5,2.9,1.8,0.8,0.3,1.7,17.0,60,25.199999999999996
OG Anunoby,TOR,35.6,6.3,13.2,2.1,5.5,2.1,2.5,1.4,3.5,5.0,2.0,1.9,0.7,2.0,16.8,67,33.300000000000004
Obi Toppin,NYK,15.7,2.8,6.3,1.3,3.7,0.6,0.7,0.4,2.4,2.8,1.0,0.3,0.2,0.6,7.4,67,13.5
Ochai Agbaji,UTA,20.5,2.8,6.5,1.4,3.9,0.9,1.2,0.7,1.3,2.1,1.1,0.3,0.3,0.7,7.9,59,13.4
Olivier Sarr,OKC,12.7,1.7,3.3,0.1,0.9,0.6,0.8,1.3,2.1,3.4,0.4,0.1,0.6,0.4,4.0,9,10.2
Omer Yurtseven,MIA,9.2,1.8,3.0,0.3,0.8,0.6,0.7,0.9,1.7,2.6,0.2,0.2,0.2,0.4,4.4,9,9.0
Onyeka Okongwu,ATL,23.1,4.0,6.2,0.1,0.2,1.9,2.5,2.7,4.5,7.2,1.0,0.7,1.3,1.0,9.9,80,26.4
Orlando Robinson,MIA,13.7,1.5,2.9,0.0,0.2,0.7,1.0,1.5,2.5,4.1,0.8,0.4,0.4,0.5,3.7,31,11.399999999999999
Oshae Brissett,IND,16.7,1.9,4.9,0.7,2.4,1.6,2.2,1.0,2.4,3.4,0.7,0.5,0.2,0.5,6.1,65,11.7
Otto Porter Jr.,TOR,18.3,1.9,3.8,0.8,2.1,1.0,1.0,0.8,1.6,2.4,1.0,1.4,0.0,0.5,5.5,8,15.3
Ousmane Dieng,OKC,14.6,1.9,4.6,0.7,2.5,0.4,0.6,0.5,2.2,2.7,1.2,0.4,0.2,0.7,4.9,39,10.700000000000001
P.J. Tucker,PHI,25.6,1.3,3.0,0.7,1.9,0.3,0.3,1.3,2.7,3.9,0.8,0.5,0.2,0.6,3.5,75,10.900000000000002
P.J. Washington,CHO,32.6,5.9,13.4,2.0,5.9,1.7,2.4,1.0,3.9,4.9,2.4,0.9,1.1,1.5,15.7,73,30.1
PJ Dozier,SAC,4.9,0.6,2.1,0.1,1.0,0.0,0.0,0.1,0.8,0.9,0.6,0.4,0.1,0.3,1.4,16,4.1
Paolo Banchero,ORL,33.8,6.7,15.6,1.2,4.0,5.5,7.4,1.2,5.7,6.9,3.7,0.8,0.5,2.8,20.0,72,31.0
Pascal Siakam,TOR,37.4,8.9,18.5,1.3,4.0,5.2,6.7,1.8,6.0,7.8,5.8,0.9,0.5,2.4,24.2,71,43.5
Pat Connaughton,MIL,23.7,2.7,6.9,1.8,5.3,0.4,0.7,0.8,3.8,4.6,1.3,0.6,0.2,0.5,7.6,61,17.0
Patrick Baldwin Jr.,GSW,7.3,1.4,3.5,1.0,2.7,0.1,0.2,0.0,1.3,1.3,0.4,0.2,0.1,0.4,3.9,31,6.6
Patrick Beverley,TOT,27.166666666666668,2.1333333333333333,5.400000000000001,1.1666666666666667,3.6,0.6666666666666666,0.9333333333333332,0.7000000000000001,3.1999999999999997,3.9000000000000004,3.0,0.9333333333333332,0.6333333333333333,0.8666666666666667,6.133333333333333,134,20.333333333333332
Patrick Williams,CHI,28.3,3.8,8.3,1.4,3.4,1.1,1.3,1.0,3.0,4.0,1.2,0.9,0.9,1.2,10.2,82,21.9
Patty Mills,BRK,14.2,2.2,5.2,1.2,3.4,0.6,0.8,0.2,0.9,1.1,1.4,0.4,0.1,0.8,6.2,40,10.7
Paul George,LAC,34.6,8.2,17.9,2.8,7.6,4.6,5.3,0.8,5.3,6.1,5.1,1.5,0.4,3.1,23.8,56,42.1
Paul Reed,PHI,10.9,1.8,3.0,0.0,0.1,0.6,0.7,1.6,2.2,3.8,0.4,0.7,0.7,0.7,4.2,69,13.5
